X,Y,OBJECTID,MIN_ID,Name,MAR_Name,Company,NTS_250K,Long_NAD83,Lat_NAD83,LSD,Section_,Township,Range,Meridian,Location,Well,Depth_m,Comm_1,Comm_2,Other_Comm,Occ_Type,Exposure,Media_Type,Highlights,Hghlt_Comm,Hghlt_Grad,Hghlt_Unit,Ore_Min,Gangue_Min,Morpho,Host_Rock,Strat_Age,Strat_Unit,Structure,Intrusion,Min_Host,Ref_AGS,Ref_MAR,Ref_Other,AE_MAR_WWW
-111.990209999714565,49.098383998896061,1,72E-M-29, , , ,72E,-111.99021,49.098384,16,6,2,15,4,Along the Milk River about 9.6 km SE of the town of Milk River (NTS 72E/4)., , ,Placer gold,Platinum, ,Mineral occurrence,Surface,Alluvial sand and gravel,15.9 mg/cu yd Au,Au,0, ,"Gold, Platinum", , ,Alluvial sand and gravel,Quaternary, , , ,Placer,"Olson et al. 1994 (OFR 1994-8), Edwards 1990 (OFR 1990-09)", , , 
-110.848675999743378,50.91260799893093,2,72L-M-01, , , ,72L,-110.848676,50.912608,6,36,22,7,4,Along the Red Deer River about 19 km NW of the town of Buffalo (NTS 72L/15)., , ,Placer gold,Platinum, ,Mineral occurrence,Surface,Alluvial sand and gravel,2.754 mg/cu yd Au,Au,0.0022,g/t,"Gold, Platinum", , ,Alluvial sand and gravel,Quaternary, , , ,Placer,"Olson et al. 1994 (OFR 1994-8), Edwards 1990 (OFR 1990-09)", , , 
-110.180010000019848,50.633814999326141,3,72L-M-02, , , ,72L,-110.18001,50.633815,3,26,19,2,4,Approximately 11.2 km NE of the town of Bowell and about 12.8 km NNE of the city of Medicine Hat (NTS 72L/9)., , ,Placer gold, , ,Mineral occurrence,Surface,Alluvial sand and gravel,5.981 mg/cu yd Au,Au,0.0058,g/t,"Gold, Platinum (?)", , ,Alluvial sand and gravel,Quaternary, , , ,Placer,"Olson et al. 1994 (OFR 1994-8), Edwards 1990 (OFR 1990-09)", , , 
-111.746522000365232,53.923312999132349,4,73E-M-01, , , ,73E,-111.746522,53.923313,7,17,57,12,4,About 3.2 km NW of the confluence of Saddlelake Creek and the North Saskatchewan River and about 24 km North of Two Hills (NTS 73E/13)., , ,Placer gold,Platinum, ,Mineral occurrence,Surface,Alluvial sand and gravel,50.862 mg/cu yd Au,Au,0.041,g/t,"Gold, Platinum", , ,Alluvial sand and gravel,Quaternary, , , ,Placer,"Olson et al. 1994 (OFR 1994-8), Edwards 1990 (OFR 1990-09)", , , 
-111.720256999697654,53.863303999275971,5,73E-M-02, , , ,73E,-111.720257,53.863304,2,28,56,12,4,About 4.8 km South of the confluence of Saddlelake Creek and the North Saskatchewan River and about 9.6 km SW of Faisy (NTS 73E/13)., , ,Placer gold, , ,Mineral occurrence,Surface,Alluvial sand and gravel,0.02 g/t Au,Au,0.02,g/t,Gold, , ,Alluvial sand and gravel,Quaternary, , , ,Placer,"Olson et al. 1994 (OFR 1994-8), Edwards 1990 (OFR 1990-09), MacGillivray 1984 (OFR 1984-29)", , , 
-111.733897000107106,53.82460599911802,6,73E-M-03, , , ,73E,-111.733897,53.824606,12,9,56,12,4,About 12 km North of the town of Two Hills and about 13.7 km SE of the town of Shalka (NTS 73E/13)., , ,Placer gold, , ,Mineral occurrence,Surface,Alluvial sand and gravel,0.05 g/t Au,Au,0.05,g/t,Gold, , ,Alluvial sand and gravel,Quaternary, , , ,Placer,"Olson et al. 1994 (OFR 1994-8), Edwards 1990 (OFR 1990-09)", , , 
-111.703699999779076,53.793353999218304,7,73E-M-04, , , ,73E,-111.7037,53.793354,6,34,55,12,4,About 3.2 km NW of the town of Duvernay and about 9.6 km North of the town of Two Hills (NTS 73E/13)., , ,Placer gold, , ,Mineral occurrence,Surface,Alluvial sand and gravel,0.05 g/t Au,Au,0.05,g/t,Gold, , ,Alluvial sand and gravel,Quaternary, , , ,Placer,"Olson et al. 1994 (OFR 1994-8), Edwards 1990 (OFR 1990-09)", , , 
-111.592568000235744,53.786607999031581,8,73E-M-05, , , ,73E,-111.592568,53.786608,16,29,55,11,4,About 14.5 km NE of the town of Two Hills and about 19 km West of the town of Lac Bellevue (NTS 73E/13)., , ,Placer gold,Platinum, ,Mineral occurrence,Surface,Alluvial sand and gravel,208.135 mg/cu yd Au,Au,0.167,g/t,"Gold, Platinum", , ,Alluvial sand and gravel,Quaternary, , , ,Placer,"Olson et al. 1994 (OFR 1994-8), Edwards 1990 (OFR 1990-09)", , , 
-111.127500999559828,53.752854998976055,9,73E-M-06, , , ,73E,-111.127501,53.752855,10,16,55,8,4,About 9.6 km North of the town of Slawa (NTS 73E/14)., , ,Placer gold,Platinum, ,Mineral occurrence,Surface,Alluvial sand and gravel,168.78 mg/cu yd Au,Au,0.135,g/t,"Gold, Platinum", , ,Alluvial sand and gravel,Quaternary, , , ,Placer,"Olson et al. 1994 (OFR 1994-8), Edwards 1990 (OFR 1990-09)", , , 
-110.87382199960426,53.856783999291174,10,73E-M-07, , , ,73E,-110.873822,53.856784,9,19,56,6,4,About 4.8 km South of the town of Elk Point (NTS 75E/15)., , ,Placer gold,Platinum, ,Mineral occurrence,Surface,Alluvial sand and gravel,45.24 mg/cu yd Au,Au,0.036,g/t,"Gold, Platinum", , ,Alluvial sand and gravel,Quaternary, , , ,Placer,"Olson et al. 1994 (OFR 1994-8), Edwards 1990 (OFR 1990-09)", , , 
