dep_id,url,mrds_id,mas_id,site_name,latitude,longitude,region,country,state,county,com_type,commod1,commod2,commod3,oper_type,dep_type,prod_size,dev_stat,ore,gangue,other_matl,orebody_fm,work_type,model,alteration,conc_proc,names,ore_ctrl,reporter,hrock_unit,hrock_type,arock_unit,arock_type,structure,tectonic,ref,yfp_ba,yr_fst_prd,ylp_ba,yr_lst_prd,dy_ba,disc_yr,prod_yrs,discr
10023239,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10023239,I000032,,Hellroaring Creek,49.57487,-116.34275,NA,Canada,British Columbia,,M,Beryllium,,,Unknown,,N,Occurrence,Beryl,,,,,33: Be-Li pegmatites,,,,,"Orris, Greta J.",,Pegmatite,,,,,"SCHILLER, E.A., 1985, BERYLLIUM-- GEOLOGY, PRODUCTION AND USES:  MINING MAGAZINE, V. 152, NO. 4, P. 317-322.CANADA DEPARTMENT OF ENERGY, MINES, AND RESOURCES, 1985, CANADIAN MINERAL DEPOSITS NOT BEING MINED IN 1985:  CANADA DEPARTMENT OF ENERGY, MINES, AND RESOURCES MINERAL BULLETIN 213, P. 254.CANADA DEPT. OF ENERGY, MINES, AND RESOURCES, 1985.",,,,,,,,
10023245,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10023245,I000038,,O'Connor River Gypsum Deposit,59.66641,-136.75216,NA,Canada,British Columbia,,N,Gypsum-Anhydrite,,,Unknown,,N,Prospect,Gypsum,Anhydrite,,,,253: Bedded gypsum: marine evaporite gypsum,Limestone Is Altered To Skarn In Places.,,,Northwest-Trending Shear Zone,"Orris, Greta J.",,Evaporite,,,,Alexander Terrane Of Insular Tectonic Belt,"WHITE, G.V., 1986, PRELIMINARY REPORT O'CONNOR RIVER GYPSUM DEPOSIT (114P/10E), IN GEOLOGIC FIELDWORK- 1985:  BRITISH COLUMBIA MINISTRY OF ENERGY, MINES, AND PETROLEUM RESOURCES PAPER 1986-1, P. 279-282",,,,,,1958,,
10023320,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10023320,I000175,,Mineral Hill,49.46646,-123.75132,NA,Canada,British Columbia,,N,Wollastonite,Garnet,,Unknown,,N,Prospect,"Garnet, Wollastonite",,,,,65: Skarn wollastonite,,,,,"Orris, Greta J.",,,,,,,"CANADIAN MINES HANDBOOK 1989-90, P. 94, 449-50.FATTAH, HASSAN, 1994, WOLLASTONITE-- NEW ASPECTS PROMISE GROWTH:  INDUSTRIAL MINERALS, NO. 326, P. 21-43.CANDADIAN MINES HANDBOOK, 1989, P. 94; SECOND AND THIRD NUMBERS FROM FATTAH, 1994;",,,,,,,,
10023378,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10023378,I000273,,Boston Bar,49.86649,-121.43459,NA,Canada,British Columbia,,N,Talc-Soapstone,,,Unknown,,N,Prospect,Talc,,,,,,,,,,"Orris, Greta J.",,,,,,,"NORTHERN MINER, 1990, PACIFIC TALC SEES BIG PROFITS IN MINING OF WHITE MINERAL:  V. 76, NO. 5, P. 17NORTHERN MINER, 1990.",,1991,,,,,,
10023443,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10023443,I000412,,Marysville Magnesite Occurrence,49.59987,-115.95107,NA,Canada,British Columbia,,M,Magnesite,,,Unknown,,N,Occurrence,Magnesite,,,,,,,,,,"Orris, Greta J.",Cranbrook Formation,Quartzite,,,,,"HAMILTON, W.N., AND HORA, Z.D., 1987, OPPORTUNITIES EXIST FOR INDUSTRIAL MINERALS DEVELOPMENT IN BRITISH COLUMBIA AND ALBERTA:  MINING ENGINEERING, V. 39, NO. 12, P. 1061-1067",,,,,,1932,,
10023862,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10023862,I005023,,Spar,51.56374,-119.90681,NA,Canada,British Columbia,,N,Fluorine-Fluorite,,,Unknown,,U,Occurrence,Fluorite,"Celestite, Pyrite",,,,,,,,,"Orris, Greta J.",,"Greenstone,Gneiss",,Plutonic Rock,,,"CANADA DEPARTMENT OF ENERGY, MINES AND RESOURCES, 1984, CANADIAN MINERAL DEPOSITS NOT BEING MINED IN 1983:  CANADA DEPARTMENT OF ENERGY, MINES AND RESOURCES MINERAL BULLETIN 198, 308 PMR198",,,,,,1918,,
10023867,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10023867,I005029,,Eaglet,52.56929,-120.98743,NA,Canada,British Columbia,,N,Fluorine-Fluorite,,,Unknown,,N,Occurrence,Fluorite,,,,,,,,,,"Orris, Greta J.",,Gneiss,,,,,"CANADA DEPARTMENT OF ENERGY, MINES AND RESOURCES, 1984, CANADIAN MINERAL DEPOSITS NOT BEING MINED IN 1983:  CANADA DEPARTMENT OF ENERGY, MINES AND RESOURCES MINERAL BULLETIN 198, 308 PMR198.",,,,,,1946,,
10038703,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10038703,M046124,,Maple Leaf,49.56652,-118.35948,NA,Canada,British Columbia,,M,Copper,"Platinum, Gold, Silver","Lead, Zinc",Unknown,,Y,Past Producer,"Chalcopyrite, Galena, Malachite, Pyrite, Sphalerite",,,,,,,Contact Metamorphic,Franklin Mining Camp,,"Blair, Will N.",,Quartzite,,,,,"O'NEILL AND GUNNING, 1934, PT DEPOSITS OF CANADA: CANADA GEOLOGICAL SURVEY ECON. GEOL. REPT. 13, P. 104 - 105DRYSDALE, 1915, FRANKLIN MINING CAMP, B. C. : CANADA GEOLOGICAL SURVEY MEM. 56, P. 80, 137, 155, 173, 174",,,,,,,,
10038704,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10038704,M046125,,Mountain Lion,49.56652,-118.35948,NA,Canada,British Columbia,,M,,,"Platinum, Gold, Copper",Unknown,,N,Occurrence,"Bornite, Chalcopyrite, Pyrite",,,,,,,,Franklin Mining Camp,,"Blair, Will N.",,,,,,,"O'NEILL AND GUNNING, 1934, PT DEPOSITS OF CANADA: CANADA GEOLOGICAL SURVEY ECON. GEOL. REPT. 13, P. 105DRYSDALE, 1915, FRANKLIN MINING CAMP, B. C. : CANADA GEOLOGICAL SURVEY MEM. 56, P. 59, 170, 173",,,,,,,,
10038705,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10038705,M046126,,Golden Age,49.56652,-118.35948,NA,Canada,British Columbia,,M,,,"Gold, Copper, Platinum",Unknown,,N,Occurrence,"Bornite, Chalcopyrite, Pyrite",,,,,,,,Franklin Mining Camp,,"Blair, Will N.",,,,,,,"O'NEILL AND GUNNING, 1934, PT DEPOSITS OF CANADA GEOLOGICAL SURVEY ECON. GEOL. REPT. 13, P. 10",,,,,,,,
